Date,Value
07/12/21,56.545
08/12/21,65.036
09/12/21,62.544
10/12/21,68.943
13/12/21,72.457
14/12/21,72.297
15/12/21,69.99
16/12/21,77.217
17/12/21,81.259
20/12/21,91.786
21/12/21,126.019
22/12/21,130.64
23/12/21,107.334
24/12/21,95.661
27/12/21,93.625
28/12/21,92.965
29/12/21,88.652
30/12/21,78.183
31/12/21,65.168
03/01/22,73.748
04/01/22,81.473
05/01/22,83.651
06/01/22,86.722
07/01/22,80.051
10/01/22,78.201
11/01/22,72.052
12/01/22,65.223
13/01/22,65.45
14/01/22,67.96
17/01/22,64.618
18/01/22,65.073
19/01/22,62.32
20/01/22,64.903
21/01/22,68.912
24/01/22,80.741
25/01/22,83.41
26/01/22,85.783
27/01/22,88.701
28/01/22,88.627
31/01/22,81.531
01/02/22,72.921
02/02/22,75.156
03/02/22,78.244
04/02/22,81.351
07/02/22,78.849
08/02/22,76.737
09/02/22,73.25
10/02/22,73.429
11/02/22,76.806
14/02/22,79.782
15/02/22,70.411
16/02/22,69.41
17/02/22,74.339
18/02/22,73.054
21/02/22,72.261
22/02/22,79.746
23/02/22,88.359
24/02/22,127.933
25/02/22,90.927
28/02/22,95.041
01/03/22,114.566
02/03/22,149.99
03/03/22,140.329
04/03/22,121.596
07/03/22,135.293
08/03/22,131.935
09/03/22,117.142
10/03/22,99.231
11/03/22,107.838
14/03/22,94.047
15/03/22,93.348
16/03/22,85.328
17/03/22,92.435
18/03/22,93.132
21/03/22,87.708
22/03/22,91.879
23/03/22,106.976
24/03/22,100.137
25/03/22,92.927
28/03/22,96.094
29/03/22,101.091
30/03/22,109.271
31/03/22,116.022
01/04/22,102.32
04/04/22,102.059
05/04/22,105.369
06/04/22,104.672
07/04/22,102.557
08/04/22,101.907
11/04/22,99.313
12/04/22,100.871
13/04/22,103.267
14/04/22,93.965
18/04/22,93.965
19/04/22,93.128
20/04/22,93.363
21/04/22,98.566
22/04/22,93.848
25/04/22,91.106
26/04/22,100.597
27/04/22,104.524
28/04/22,97.407
29/04/22,94.046
02/05/22,91.262
03/05/22,94.914
04/05/22,100.208
05/05/22,101.972
06/05/22,98.014
09/05/22,93.151
10/05/22,97.692
11/05/22,94.41
12/05/22,105.874
13/05/22,99.513
16/05/22,94.867
17/05/22,99.765
18/05/22,99.079
19/05/22,95.337
20/05/22,92.191
23/05/22,88.632
24/05/22,91.119
25/05/22,95.574
26/05/22,94.344
27/05/22,98.731
30/05/22,98.408
31/05/22,99.692
01/06/22,95.422
02/06/22,97.058
03/06/22,94.461
06/06/22,94.805
07/06/22,93.481
08/06/22,93.671
09/06/22,96.317
10/06/22,95.328
13/06/22,95.375
14/06/22,104.733
15/06/22,120.759
16/06/22,121.478
17/06/22,112.1
20/06/22,115.726
21/06/22,121.412
22/06/22,127.919
23/06/22,135.118
24/06/22,131.63
27/06/22,132.698
28/06/22,133.313
29/06/22,140.619
30/06/22,147.967
01/07/22,151.331
04/07/22,163.871
05/07/22,166.02
06/07/22,172.528
07/07/22,184.618
08/07/22,177.685
11/07/22,168.388
12/07/22,177.923
13/07/22,182.912
14/07/22,178.441
15/07/22,163.488
18/07/22,162.917
19/07/22,160.791
20/07/22,161.618
21/07/22,158.42
22/07/22,161.177
25/07/22,176.928
26/07/22,200.216
27/07/22,200.298
28/07/22,195.286
29/07/22,188.336
01/08/22,197.522
02/08/22,201.577
03/08/22,197.025
04/08/22,196.743
05/08/22,195.377
08/08/22,192.33
09/08/22,193.543
10/08/22,208.033
11/08/22,213.173
12/08/22,211.543
15/08/22,225.186
16/08/22,232.279
17/08/22,230.968
18/08/22,245.43
19/08/22,248.147
22/08/22,280.332
23/08/22,273.953
24/08/22,295.371
25/08/22,324.35
26/08/22,345.726
29/08/22,294.399
30/08/22,266.526
31/08/22,239.446
01/09/22,245.299
02/09/22,219.345
05/09/22,251.768
06/09/22,244.747
07/09/22,220.062
08/09/22,226.432
09/09/22,215.492
12/09/22,199.286
13/09/22,205.915
14/09/22,226.154
15/09/22,225.967
16/09/22,203.814
19/09/22,200.557
20/09/22,209.845
21/09/22,208.935
22/09/22,208.196
23/09/22,208.094
26/09/22,198.859
27/09/22,210.329
28/09/22,229.434
29/09/22,209.757
30/09/22,197.329
03/10/22,179.125
04/10/22,171.53
05/10/22,185.789
06/10/22,186.637
07/10/22,169.891
10/10/22,173.51
11/10/22,176.142
12/10/22,176.234
13/10/22,170.912
14/10/22,162.024
17/10/22,157.84
18/10/22,146.608
19/10/22,140.991
20/10/22,157.083
21/10/22,149.802
24/10/22,143.498
25/10/22,141.131
26/10/22,140.321
27/10/22,141.697
28/10/22,144.033
31/10/22,130.266
01/11/22,123.421
02/11/22,132.813
03/11/22,132.677
04/11/22,123.611
07/11/22,119.663
08/11/22,125.909
09/11/22,120.489
10/11/22,120.018
11/11/22,105.4
14/11/22,120.203
15/11/22,130.516
16/11/22,121.141
17/11/22,120.03
18/11/22,122.722
21/11/22,122.522
22/11/22,127.702
23/11/22,135.967
24/11/22,129.604
25/11/22,129.323
28/11/22,127.783
29/11/22,136.165
30/11/22,146.397
01/12/22,139.258
02/12/22,135.562
05/12/22,134.699
